Check failed for (fp32): alpha = -4.285132; beta = -1.071283; diff = 7.152557e-07; -682/1000
Check failed for (fp32): alpha = -4.278849; beta = -1.069712; diff = 2.384186e-07; -681/1000
Check failed for (fp32): alpha = -4.272566; beta = -1.068142; diff = 3.576279e-07; -680/1000
Check failed for (fp32): alpha = -4.26; beta = -1.065; diff = 3.576279e-07; -678/1000
Check failed for (fp32): alpha = -4.253716; beta = -1.063429; diff = 7.152557e-07; -677/1000
Check failed for (fp32): alpha = -4.247433; beta = -1.061858; diff = 4.768372e-07; -676/1000
Check failed for (fp32): alpha = -4.24115; beta = -1.060288; diff = 3.576279e-07; -675/1000
Check failed for (fp32): alpha = -4.228584; beta = -1.057146; diff = 3.576279e-07; -673/1000
Check failed for (fp32): alpha = -4.222301; beta = -1.055575; diff = 9.536743e-07; -672/1000
Check failed for (fp32): alpha = -4.216017; beta = -1.054004; diff = 4.768372e-07; -671/1000
Check failed for (fp32): alpha = -4.209734; beta = -1.052434; diff = 4.768372e-07; -670/1000
Check failed for (fp32): alpha = -4.203451; beta = -1.050863; diff = 2.384186e-07; -669/1000
Check failed for (fp32): alpha = -4.197168; beta = -1.049292; diff = 4.768372e-07; -668/1000
Check failed for (fp32): alpha = -4.190885; beta = -1.047721; diff = 8.34465e-07; -667/1000
Check failed for (fp32): alpha = -4.184602; beta = -1.04615; diff = 9.536743e-07; -666/1000
Check failed for (fp32): alpha = -4.178319; beta = -1.04458; diff = 4.768372e-07; -665/1000
Check failed for (fp32): alpha = -4.165752; beta = -1.041438; diff = 5.960464e-07; -663/1000
Check failed for (fp32): alpha = -4.159469; beta = -1.039867; diff = 1.072884e-06; -662/1000
Check failed for (fp32): alpha = -4.153186; beta = -1.038296; diff = 1.192093e-06; -661/1000
Check failed for (fp32): alpha = -4.146903; beta = -1.036726; diff = 5.960464e-07; -660/1000
Check failed for (fp32): alpha = -4.134336; beta = -1.033584; diff = 9.536743e-07; -658/1000
Check failed for (fp32): alpha = -4.128053; beta = -1.032013; diff = 1.192093e-06; -657/1000
Check failed for (fp32): alpha = -4.12177; beta = -1.030442; diff = 1.192093e-06; -656/1000
Check failed for (fp32): alpha = -4.115486; beta = -1.028872; diff = 2.384186e-07; -655/1000
Check failed for (fp32): alpha = -4.10292; beta = -1.02573; diff = 4.768372e-07; -653/1000
Check failed for (fp32): alpha = -4.096637; beta = -1.024159; diff = 1.430511e-06; -652/1000
Check failed for (fp32): alpha = -4.090354; beta = -1.022588; diff = 1.192093e-06; -651/1000
Check failed for (fp32): alpha = -4.08407; beta = -1.021018; diff = 2.384186e-07; -650/1000
Check failed for (fp32): alpha = -4.071504; beta = -1.017876; diff = 9.536743e-07; -648/1000
Check failed for (fp32): alpha = -4.065221; beta = -1.016305; diff = 1.192093e-06; -647/1000
Check failed for (fp32): alpha = -4.058938; beta = -1.014735; diff = 1.907349e-06; -646/1000
Check failed for (fp32): alpha = -4.052655; beta = -1.013164; diff = 9.536743e-07; -645/1000
Check failed for (fp32): alpha = -4.040088; beta = -1.010022; diff = 1.430511e-06; -643/1000
Check failed for (fp32): alpha = -4.033805; beta = -1.008451; diff = 1.192093e-06; -642/1000
Check failed for (fp32): alpha = -4.027522; beta = -1.00688; diff = 1.430511e-06; -641/1000
Check failed for (fp32): alpha = -4.021239; beta = -1.00531; diff = 1.192093e-06; -640/1000
Check failed for (fp32): alpha = -4.014956; beta = -1.003739; diff = 7.152557e-07; -639/1000
Check failed for (fp32): alpha = -4.008672; beta = -1.002168; diff = 9.536743e-07; -638/1000
