Check failed for (fp32): alpha = -0.8293805; diff1 = 1.475026; diff2 = 5.960464e-08; -132/1000
Check failed for (fp32): alpha = -0.7665486; diff1 = 1.387307; diff2 = 5.960464e-08; -122/1000
Check failed for (fp32): alpha = -0.7602654; diff1 = 1.378227; diff2 = 5.960464e-08; -121/1000
Check failed for (fp32): alpha = -0.7414159; diff1 = 1.350666; diff2 = 5.960464e-08; -118/1000
Check failed for (fp32): alpha = -0.6974336; diff1 = 1.284505; diff2 = 5.960464e-08; -111/1000
Check failed for (fp32): alpha = -0.6660177; diff1 = 1.235719; diff2 = 5.960464e-08; -106/1000
Check failed for (fp32): alpha = -0.5654867; diff1 = 1.071654; diff2 = 5.960464e-08; -90/1000
Check failed for (fp32): alpha = -0.4838053; diff1 = 0.9303021; diff2 = 5.960464e-08; -77/1000
Check failed for (fp32): alpha = 0.4838053; diff1 = 5.960464e-08; diff2 = 0.9303021; 77/1000
Check failed for (fp32): alpha = 0.5654867; diff1 = 5.960464e-08; diff2 = 1.071654; 90/1000
Check failed for (fp32): alpha = 0.6660177; diff1 = 5.960464e-08; diff2 = 1.235719; 106/1000
Check failed for (fp32): alpha = 0.6974336; diff1 = 5.960464e-08; diff2 = 1.284505; 111/1000
Check failed for (fp32): alpha = 0.7414159; diff1 = 5.960464e-08; diff2 = 1.350666; 118/1000
Check failed for (fp32): alpha = 0.7602654; diff1 = 5.960464e-08; diff2 = 1.378227; 121/1000
Check failed for (fp32): alpha = 0.7665486; diff1 = 5.960464e-08; diff2 = 1.387307; 122/1000
Check failed for (fp32): alpha = 0.8293805; diff1 = 5.960464e-08; diff2 = 1.475026; 132/1000
