Check failed for (fp64): x = -2.59495553186517; diff = 4.44089209850063e-16; -413/1000
Check failed for (fp64): x = -2.58867234655799; diff = 4.44089209850063e-16; -412/1000
Check failed for (fp64): x = -2.56353960532927; diff = 8.88178419700125e-16; -408/1000
Check failed for (fp64): x = -2.55725642002209; diff = 4.44089209850063e-16; -407/1000
Check failed for (fp64): x = -2.55097323471491; diff = 8.88178419700125e-16; -406/1000
Check failed for (fp64): x = -2.54469004940773; diff = 4.44089209850063e-16; -405/1000
Check failed for (fp64): x = -2.53840686410055; diff = 4.44089209850063e-16; -404/1000
Check failed for (fp64): x = -2.53212367879337; diff = 4.44089209850063e-16; -403/1000
Check failed for (fp64): x = -2.52584049348619; diff = 8.88178419700125e-16; -402/1000
Check failed for (fp64): x = -2.51955730817901; diff = 4.44089209850063e-16; -401/1000
