Check failed for (fp128): x = -4.297698750110837150216896148326359808e+00; diff = 1.925929944387235853055977942584927319e-34; -684/1000
Check failed for (fp128): x = -4.278849194189298390786120288026683106e+00; diff = 1.925929944387235853055977942584927319e-34; -681/1000
Check failed for (fp128): x = -4.266282823574939217832269714493564534e+00; diff = 1.925929944387235853055977942584927319e-34; -679/1000
Check failed for (fp128): x = -4.253716452960580044878419140960446732e+00; diff = 1.925929944387235853055977942584927319e-34; -677/1000
Check failed for (fp128): x = -4.203450970503143353063016846827974755e+00; diff = 1.925929944387235853055977942584927319e-34; -669/1000
Check failed for (fp128): x = -4.197167785195963766586091560061415855e+00; diff = 1.925929944387235853055977942584927319e-34; -668/1000
Check failed for (fp128): x = -4.178318229274425007155315699761739152e+00; diff = 1.925929944387235853055977942584927319e-34; -665/1000
Check failed for (fp128): x = -4.153185488045706661247614552695502778e+00; diff = 1.925929944387235853055977942584927319e-34; -661/1000
Check failed for (fp128): x = -4.140619117431347488293763979162384977e+00; diff = 1.925929944387235853055977942584927319e-34; -659/1000
Check failed for (fp128): x = -4.134335932124167901816838692395825306e+00; diff = 1.925929944387235853055977942584927319e-34; -658/1000
Check failed for (fp128): x = -4.121769561509808728862988118862707504e+00; diff = 1.925929944387235853055977942584927319e-34; -656/1000
Check failed for (fp128): x = -4.109203190895449555909137545329589702e+00; diff = 1.925929944387235853055977942584927319e-34; -654/1000
Check failed for (fp128): x = -4.096636820281090382955286971796471901e+00; diff = 1.925929944387235853055977942584927319e-34; -652/1000
Check failed for (fp128): x = -4.077787264359551623524511111496795198e+00; diff = 1.925929944387235853055977942584927319e-34; -649/1000
Check failed for (fp128): x = -4.071504079052372037047585824730235527e+00; diff = 1.925929944387235853055977942584927319e-34; -648/1000
Check failed for (fp128): x = -4.058937708438012864093735251197117725e+00; diff = 1.925929944387235853055977942584927319e-34; -646/1000
Check failed for (fp128): x = -4.046371337823653691139884677663999924e+00; diff = 3.851859888774471706111955885169854637e-34; -644/1000
Check failed for (fp128): x = -4.040088152516474104662959390897440252e+00; diff = 1.925929944387235853055977942584927319e-34; -643/1000
Check failed for (fp128): x = -4.033804967209294518186034104130881352e+00; diff = 1.925929944387235853055977942584927319e-34; -642/1000
Check failed for (fp128): x = -4.021238596594935345232183530597763550e+00; diff = 1.925929944387235853055977942584927319e-34; -640/1000
Check failed for (fp128): x = -4.014955411287755758755258243831204649e+00; diff = 1.925929944387235853055977942584927319e-34; -639/1000
Check failed for (fp128): x = -4.008672225980576172278332957064644978e+00; diff = 3.851859888774471706111955885169854637e-34; -638/1000
Check failed for (fp128): x = -4.002389040673396585801407670298086077e+00; diff = 3.851859888774471706111955885169854637e-34; -637/1000
Check failed for (fp128): x = -3.989822670059037412847557096764968661e+00; diff = 1.925929944387235853055977942584927319e-34; -635/1000
Check failed for (fp128): x = -3.983539484751857826370631809998409760e+00; diff = 3.851859888774471706111955885169854637e-34; -634/1000
Check failed for (fp128): x = -3.977256299444678239893706523231850859e+00; diff = 1.925929944387235853055977942584927319e-34; -633/1000
Check failed for (fp128): x = -3.970973114137498653416781236465291188e+00; diff = 3.851859888774471706111955885169854637e-34; -632/1000
