Check failed for (fp64): alpha = -3.80761029615083; beta = -0.951902574037707; diff = 8.88178419700125e-16; -606/1000
Check failed for (fp64): alpha = -3.80132711084365; beta = -0.950331777710912; diff = 8.88178419700125e-16; -605/1000
Check failed for (fp64): alpha = -3.79504392553647; beta = -0.948760981384117; diff = 2.22044604925031e-16; -604/1000
Check failed for (fp64): alpha = -3.78876074022929; beta = -0.947190185057323; diff = 5.10702591327572e-15; -603/1000
Check failed for (fp64): alpha = -3.78247755492211; beta = -0.945619388730528; diff = 4.88498130835069e-15; -602/1000
Check failed for (fp64): alpha = -3.77619436961493; beta = -0.944048592403733; diff = 5.10702591327572e-15; -601/1000
Check failed for (fp64): alpha = -3.76991118430775; beta = -0.942477796076938; diff = 0.105572809000084; -600/1000
Check failed for (fp64): alpha = -3.76362799900057; beta = -0.940906999750143; diff = 1.46549439250521e-14; -599/1000
Check failed for (fp64): alpha = -3.75734481369339; beta = -0.939336203423348; diff = 3.99680288865056e-15; -598/1000
Check failed for (fp64): alpha = -3.75106162838621; beta = -0.937765407096553; diff = 3.33066907387547e-15; -597/1000
Check failed for (fp64): alpha = -3.74477844307903; beta = -0.936194610769758; diff = 2.22044604925031e-16; -596/1000
Check failed for (fp64): alpha = -3.73849525777185; beta = -0.934623814442963; diff = 2.22044604925031e-16; -595/1000
Check failed for (fp64): alpha = -3.73221207246467; beta = -0.933053018116168; diff = 8.88178419700125e-16; -594/1000
Check failed for (fp64): alpha = -3.72592888715749; beta = -0.931482221789374; diff = 8.88178419700125e-16; -593/1000
Check failed for (fp64): alpha = -3.71964570185032; beta = -0.929911425462579; diff = 1.33226762955019e-15; -592/1000
Check failed for (fp64): alpha = -3.71336251654314; beta = -0.928340629135784; diff = 1.33226762955019e-15; -591/1000
Check failed for (fp64): alpha = -3.70707933123596; beta = -0.926769832808989; diff = 8.88178419700125e-16; -590/1000
Check failed for (fp64): alpha = -3.70079614592878; beta = -0.925199036482194; diff = 4.44089209850063e-16; -589/1000
Check failed for (fp64): alpha = -3.6945129606216; beta = -0.923628240155399; diff = 4.44089209850063e-16; -588/1000
Check failed for (fp64): alpha = -3.68194659000724; beta = -0.920486647501809; diff = 4.44089209850063e-16; -586/1000
Check failed for (fp64): alpha = -3.67566340470006; beta = -0.918915851175014; diff = 4.44089209850063e-16; -585/1000
Check failed for (fp64): alpha = -3.66938021939288; beta = -0.917345054848219; diff = 8.88178419700125e-16; -584/1000
Check failed for (fp64): alpha = -3.65053066347134; beta = -0.912632665867835; diff = 8.88178419700125e-16; -581/1000
Check failed for (fp64): alpha = -3.64424747816416; beta = -0.91106186954104; diff = 4.44089209850063e-16; -580/1000
Check failed for (fp64): alpha = -3.63796429285698; beta = -0.909491073214245; diff = 4.44089209850063e-16; -579/1000
Check failed for (fp64): alpha = -3.62539792224262; beta = -0.906349480560655; diff = 4.44089209850063e-16; -577/1000
Check failed for (fp64): alpha = -3.6002651810139; beta = -0.900066295253476; diff = 4.44089209850063e-16; -573/1000
Check failed for (fp64): alpha = -3.57513243978518; beta = -0.893783109946296; diff = 4.44089209850063e-16; -569/1000
Check failed for (fp64): alpha = -3.568849254478; beta = -0.892212313619501; diff = 8.88178419700125e-16; -568/1000
Check failed for (fp64): alpha = -3.56256606917082; beta = -0.890641517292706; diff = 4.44089209850063e-16; -567/1000
Check failed for (fp64): alpha = -3.55628288386365; beta = -0.889070720965911; diff = 4.44089209850063e-16; -566/1000
Check failed for (fp64): alpha = -3.54999969855647; beta = -0.887499924639116; diff = 4.44089209850063e-16; -565/1000
Check failed for (fp64): alpha = -3.54371651324929; beta = -0.885929128312322; diff = 4.44089209850063e-16; -564/1000
Check failed for (fp64): alpha = -3.53115014263493; beta = -0.882787535658732; diff = 4.44089209850063e-16; -562/1000
Check failed for (fp64): alpha = -3.51230058671339; beta = -0.878075146678347; diff = 4.44089209850063e-16; -559/1000
Check failed for (fp64): alpha = -3.49345103079185; beta = -0.873362757697963; diff = 4.44089209850063e-16; -556/1000
Check failed for (fp64): alpha = -3.48088466017749; beta = -0.870221165044373; diff = 4.44089209850063e-16; -554/1000
Check failed for (fp64): alpha = -3.47460147487031; beta = -0.868650368717578; diff = 4.44089209850063e-16; -553/1000
Check failed for (fp64): alpha = -3.46203510425595; beta = -0.865508776063988; diff = 8.88178419700125e-16; -551/1000
Check failed for (fp64): alpha = -3.45575191894877; beta = -0.863937979737193; diff = 4.44089209850063e-16; -550/1000
Check failed for (fp64): alpha = -3.44318554833441; beta = -0.860796387083603; diff = 4.44089209850063e-16; -548/1000
Check failed for (fp64): alpha = -3.39920325118416; beta = -0.849800812796039; diff = 8.88178419700125e-16; -541/1000
Check failed for (fp64): alpha = -3.39292006587698; beta = -0.848230016469244; diff = 8.88178419700125e-16; -540/1000
Check failed for (fp64): alpha = -3.36778732464826; beta = -0.841946831162065; diff = 8.88178419700125e-16; -536/1000
Check failed for (fp64): alpha = -3.3552209540339; beta = -0.838805238508475; diff = 8.88178419700125e-16; -534/1000
Check failed for (fp64): alpha = -3.33008821280518; beta = -0.832522053201295; diff = 8.88178419700125e-16; -530/1000
Check failed for (fp64): alpha = -3.31752184219082; beta = -0.829380460547705; diff = 8.88178419700125e-16; -528/1000
Check failed for (fp64): alpha = -3.31123865688364; beta = -0.827809664220911; diff = 8.88178419700125e-16; -527/1000
Check failed for (fp64): alpha = -3.27353954504056; beta = -0.818384886260141; diff = 1.77635683940025e-15; -521/1000
Check failed for (fp64): alpha = -3.24840680381185; beta = -0.812101700952962; diff = 1.77635683940025e-15; -517/1000
Check failed for (fp64): alpha = -3.24212361850467; beta = -0.810530904626167; diff = 1.77635683940025e-15; -516/1000
Check failed for (fp64): alpha = -3.22955724789031; beta = -0.807389311972577; diff = 1.77635683940025e-15; -514/1000
Check failed for (fp64): alpha = -3.21699087727595; beta = -0.804247719318987; diff = 1.77635683940025e-15; -512/1000
Check failed for (fp64): alpha = -3.14159265358979; beta = -0.785398163397448; diff = 2; -500/1000
Check failed for (fp64): alpha = -3.13530946828261; beta = -0.783827367070653; diff = 5.6843418860808e-14; -499/1000
