Check failed for (fp64): alpha = -6.28318530717959; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp64): alpha = -3.30495547157646; diff1 = 1.33226762955019e-14; diff2 = 12.1335851252148; -526/1000
Check failed for (fp64): alpha = -3.28610591565492; diff1 = 6.21724893790088e-15; diff2 = 13.7430836922728; -523/1000
Check failed for (fp64): alpha = -3.27982273034774; diff1 = 8.88178419700125e-16; diff2 = 14.3763602032531; -522/1000
Check failed for (fp64): alpha = -3.27353954504056; diff1 = 7.105427357601e-15; diff2 = 15.0695467664488; -521/1000
Check failed for (fp64): alpha = -3.26725635973339; diff1 = 2.57571741713036e-14; diff2 = 15.8316301766117; -520/1000
Check failed for (fp64): alpha = -3.26097317442621; diff1 = 5.32907051820075e-15; diff2 = 16.6734891710081; -519/1000
Check failed for (fp64): alpha = -3.25468998911903; diff1 = 2.8421709430404e-14; diff2 = 17.6084199690412; -518/1000
Check failed for (fp64): alpha = -3.24840680381185; diff1 = 5.32907051820075e-15; diff2 = 18.6528472964435; -517/1000
Check failed for (fp64): alpha = -3.24212361850467; diff1 = 1.59872115546023e-14; diff2 = 19.8273020435393; -516/1000
Check failed for (fp64): alpha = -3.23584043319749; diff1 = 4.61852778244065e-14; diff2 = 21.1577899868113; -515/1000
Check failed for (fp64): alpha = -3.22955724789031; diff1 = 1.06581410364015e-14; diff2 = 22.6777471054206; -514/1000
