Check failed for (fp64): alpha = -4.69982260977033; beta = -1.17495565244258; diff = 5.6843418860808e-14; -748/1000
Check failed for (fp64): alpha = -4.69353942446315; beta = -1.17338485611579; diff = 2.8421709430404e-14; -747/1000
Check failed for (fp64): alpha = -4.67468986854161; beta = -1.1686724671354; diff = 1.77635683940025e-14; -744/1000
Check failed for (fp64): alpha = -4.66840668323443; beta = -1.16710167080861; diff = 7.105427357601e-15; -743/1000
Check failed for (fp64): alpha = -4.66212349792725; beta = -1.16553087448181; diff = 3.5527136788005e-15; -742/1000
Check failed for (fp64): alpha = -4.65584031262007; beta = -1.16396007815502; diff = 5.32907051820075e-15; -741/1000
Check failed for (fp64): alpha = -4.64955712731289; beta = -1.16238928182822; diff = 1.77635683940025e-15; -740/1000
Check failed for (fp64): alpha = -4.64327394200571; beta = -1.16081848550143; diff = 7.105427357601e-15; -739/1000
Check failed for (fp64): alpha = -4.63699075669853; beta = -1.15924768917463; diff = 7.105427357601e-15; -738/1000
Check failed for (fp64): alpha = -4.63070757139135; beta = -1.15767689284784; diff = 1.77635683940025e-15; -737/1000
Check failed for (fp64): alpha = -4.618141200777; beta = -1.15453530019425; diff = 5.32907051820075e-15; -735/1000
Check failed for (fp64): alpha = -4.61185801546982; beta = -1.15296450386745; diff = 4.44089209850063e-15; -734/1000
Check failed for (fp64): alpha = -4.60557483016264; beta = -1.15139370754066; diff = 8.88178419700125e-16; -733/1000
Check failed for (fp64): alpha = -4.5867252742411; beta = -1.14668131856027; diff = 4.44089209850063e-15; -730/1000
Check failed for (fp64): alpha = -4.58044208893392; beta = -1.14511052223348; diff = 3.5527136788005e-15; -729/1000
Check failed for (fp64): alpha = -4.57415890362674; beta = -1.14353972590668; diff = 8.88178419700125e-16; -728/1000
Check failed for (fp64): alpha = -4.56787571831956; beta = -1.14196892957989; diff = 8.88178419700125e-16; -727/1000
Check failed for (fp64): alpha = -4.56159253301238; beta = -1.14039813325309; diff = 3.5527136788005e-15; -726/1000
Check failed for (fp64): alpha = -4.5553093477052; beta = -1.1388273369263; diff = 3.5527136788005e-15; -725/1000
Check failed for (fp64): alpha = -4.53017660647648; beta = -1.13254415161912; diff = 3.10862446895044e-15; -721/1000
Check failed for (fp64): alpha = -4.5238934211693; beta = -1.13097335529233; diff = 2.22044604925031e-15; -720/1000
Check failed for (fp64): alpha = -4.50504386524776; beta = -1.12626096631194; diff = 2.66453525910038e-15; -717/1000
Check failed for (fp64): alpha = -4.49876067994058; beta = -1.12469016998515; diff = 2.66453525910038e-15; -716/1000
Check failed for (fp64): alpha = -4.47991112401904; beta = -1.11997778100476; diff = 2.22044604925031e-15; -713/1000
Check failed for (fp64): alpha = -4.47362793871187; beta = -1.11840698467797; diff = 1.77635683940025e-15; -712/1000
Check failed for (fp64): alpha = -4.46734475340469; beta = -1.11683618835117; diff = 2.22044604925031e-15; -711/1000
Check failed for (fp64): alpha = -4.45477838279033; beta = -1.11369459569758; diff = 2.22044604925031e-16; -709/1000
Check failed for (fp64): alpha = -4.44849519748315; beta = -1.11212379937079; diff = 1.99840144432528e-15; -708/1000
Check failed for (fp64): alpha = -4.44221201217597; beta = -1.11055300304399; diff = 1.33226762955019e-15; -707/1000
Check failed for (fp64): alpha = -4.43592882686879; beta = -1.1089822067172; diff = 2.22044604925031e-16; -706/1000
Check failed for (fp64): alpha = -4.42964564156161; beta = -1.1074114103904; diff = 2.22044604925031e-16; -705/1000
Check failed for (fp64): alpha = -4.42336245625443; beta = -1.10584061406361; diff = 1.55431223447522e-15; -704/1000
Check failed for (fp64): alpha = -4.41707927094725; beta = -1.10426981773681; diff = 1.77635683940025e-15; -703/1000
Check failed for (fp64): alpha = -4.41079608564007; beta = -1.10269902141002; diff = 1.55431223447522e-15; -702/1000
Check failed for (fp64): alpha = -4.40451290033289; beta = -1.10112822508322; diff = 2.22044604925031e-16; -701/1000
Check failed for (fp64): alpha = -4.39194652971853; beta = -1.09798663242963; diff = 1.77635683940025e-15; -699/1000
Check failed for (fp64): alpha = -4.38566334441135; beta = -1.09641583610284; diff = 1.77635683940025e-15; -698/1000
Check failed for (fp64): alpha = -4.37938015910417; beta = -1.09484503977604; diff = 1.11022302462516e-16; -697/1000
Check failed for (fp64): alpha = -4.37309697379699; beta = -1.09327424344925; diff = 1.11022302462516e-16; -696/1000
Check failed for (fp64): alpha = -4.36681378848981; beta = -1.09170344712245; diff = 1.22124532708767e-15; -695/1000
Check failed for (fp64): alpha = -4.36053060318263; beta = -1.09013265079566; diff = 1.33226762955019e-15; -694/1000
Check failed for (fp64): alpha = -4.35424741787545; beta = -1.08856185446886; diff = 9.99200722162641e-16; -693/1000
Check failed for (fp64): alpha = -4.34168104726109; beta = -1.08542026181527; diff = 2.22044604925031e-16; -691/1000
Check failed for (fp64): alpha = -4.33539786195391; beta = -1.08384946548848; diff = 1.4432899320127e-15; -690/1000
Check failed for (fp64): alpha = -4.32911467664673; beta = -1.08227866916168; diff = 1.33226762955019e-15; -689/1000
Check failed for (fp64): alpha = -4.32283149133955; beta = -1.08070787283489; diff = 1.11022302462516e-16; -688/1000
Check failed for (fp64): alpha = -4.31654830603238; beta = -1.07913707650809; diff = 1.11022302462516e-15; -687/1000
Check failed for (fp64): alpha = -4.3102651207252; beta = -1.0775662801813; diff = 2.22044604925031e-16; -686/1000
Check failed for (fp64): alpha = -4.29769875011084; beta = -1.07442468752771; diff = 1.22124532708767e-15; -684/1000
Check failed for (fp64): alpha = -4.29141556480366; beta = -1.07285389120091; diff = 1.27675647831893e-15; -683/1000
Check failed for (fp64): alpha = -4.2788491941893; beta = -1.06971229854732; diff = 1.11022302462516e-16; -681/1000
Check failed for (fp64): alpha = -4.27256600888212; beta = -1.06814150222053; diff = 2.22044604925031e-16; -680/1000
Check failed for (fp64): alpha = -4.26628282357494; beta = -1.06657070589373; diff = 1.0547118733939e-15; -679/1000
Check failed for (fp64): alpha = -4.25999963826776; beta = -1.06499990956694; diff = 1.0547118733939e-15; -678/1000
Check failed for (fp64): alpha = -4.25371645296058; beta = -1.06342911324014; diff = 1.66533453693773e-16; -677/1000
Check failed for (fp64): alpha = -4.2474332676534; beta = -1.06185831691335; diff = 2.22044604925031e-16; -676/1000
Check failed for (fp64): alpha = -4.24115008234622; beta = -1.06028752058656; diff = 1.08246744900953e-15; -675/1000
Check failed for (fp64): alpha = -4.23486689703904; beta = -1.05871672425976; diff = 9.71445146547012e-16; -674/1000
Check failed for (fp64): alpha = -4.22858371173186; beta = -1.05714592793297; diff = 1.38777878078145e-16; -673/1000
Check failed for (fp64): alpha = -4.22230052642468; beta = -1.05557513160617; diff = 1.2490009027033e-16; -672/1000
Check failed for (fp64): alpha = -4.2160173411175; beta = -1.05400433527938; diff = 1.11022302462516e-16; -671/1000
Check failed for (fp64): alpha = -4.20973415581032; beta = -1.05243353895258; diff = 9.0205620750794e-16; -670/1000
Check failed for (fp64): alpha = -4.20345097050314; beta = -1.05086274262579; diff = 9.57567358739198e-16; -669/1000
Check failed for (fp64): alpha = -4.1846014145816; beta = -1.0461503536454; diff = 9.08995101411847e-16; -666/1000
Check failed for (fp64): alpha = -4.17831822927443; beta = -1.04457955731861; diff = 8.43075609324728e-16; -665/1000
Check failed for (fp64): alpha = -4.17203504396725; beta = -1.04300876099181; diff = 1.31838984174237e-16; -664/1000
Check failed for (fp64): alpha = -4.15318548804571; beta = -1.03829637201143; diff = 9.71445146547012e-16; -661/1000
Check failed for (fp64): alpha = -4.14690230273853; beta = -1.03672557568463; diff = 7.63278329429795e-16; -660/1000
Check failed for (fp64): alpha = -4.12805274681699; beta = -1.03201318670425; diff = 8.04911692853238e-16; -657/1000
Check failed for (fp64): alpha = -4.12176956150981; beta = -1.03044239037745; diff = 8.88178419700125e-16; -656/1000
Check failed for (fp64): alpha = -4.11548637620263; beta = -1.02887159405066; diff = 1.11022302462516e-16; -655/1000
Check failed for (fp64): alpha = -4.10292000558827; beta = -1.02573000139707; diff = 8.32667268468867e-16; -653/1000
Check failed for (fp64): alpha = -4.09663682028109; beta = -1.02415920507027; diff = 6.93889390390723e-16; -652/1000
Check failed for (fp64): alpha = -4.09035363497391; beta = -1.02258840874348; diff = 8.88178419700125e-16; -651/1000
Check failed for (fp64): alpha = -4.07150407905237; beta = -1.01787601976309; diff = 4.9960036108132e-16; -648/1000
Check failed for (fp64): alpha = -4.06522089374519; beta = -1.0163052234363; diff = 5.55111512312578e-16; -647/1000
Check failed for (fp64): alpha = -4.04637133782365; beta = -1.01159283445591; diff = 6.66133814775094e-16; -644/1000
