Check failed for (fp32): alpha = -3.279823; diff1 = 14.37635; diff2 = 4.768372e-07; -522/1000
Check failed for (fp32): alpha = -3.27354; diff1 = 15.06952; diff2 = 4.768372e-07; -521/1000
Check failed for (fp32): alpha = -3.23584; diff1 = 21.15781; diff2 = 9.536743e-07; -515/1000
Check failed for (fp32): alpha = -3.223274; diff1 = 24.43085; diff2 = 9.536743e-07; -513/1000
Check failed for (fp32): alpha = -3.210708; diff1 = 28.89118; diff2 = 9.536743e-07; -511/1000
Check failed for (fp32): alpha = -3.198141; diff1 = 35.33005; diff2 = 1.907349e-06; -509/1000
Check failed for (fp32): alpha = -3.179292; diff1 = 53.02657; diff2 = 1.907349e-06; -506/1000
Check failed for (fp32): alpha = -3.173009; diff1 = 63.64083; diff2 = 1.907349e-06; -505/1000
Check failed for (fp32): alpha = -3.166726; diff1 = 79.55995; diff2 = 3.814697e-06; -504/1000
Check failed for (fp32): alpha = -3.160442; diff1 = 106.0899; diff2 = 3.814697e-06; -503/1000
Check failed for (fp32): alpha = -3.13531; diff1 = 318.3173; diff2 = 1.525879e-05; -499/1000
Check failed for (fp32): alpha = -3.129026; diff1 = 159.1482; diff2 = 7.629395e-06; -498/1000
Check failed for (fp32): alpha = -3.122743; diff1 = 106.0909; diff2 = 3.814697e-06; -497/1000
Check failed for (fp32): alpha = -3.110177; diff1 = 63.64118; diff2 = 1.907349e-06; -495/1000
Check failed for (fp32): alpha = -3.103894; diff1 = 53.02648; diff2 = 1.907349e-06; -494/1000
Check failed for (fp32): alpha = -3.09761; diff1 = 45.44364; diff2 = 1.907349e-06; -493/1000
